#{"t_start": 1769534691.7832222, "env_id": "None"}
r,l,t
0.0,2,1.825857
0.0,7,1.854877
0.0,15,2.040928
0.0,16,2.047035
0.0,4,2.065296
0.0,23,2.078758
0.0,18,2.151537
0.0,11,2.155552
0.0,34,2.157063
0.0,15,2.162472
0.0,18,2.263664
0.0,10,2.323805
0.0,28,2.328366
0.0,63,2.332403
0.0,70,2.361754
0.0,12,2.3921
0.0,74,2.403288
0.0,70,2.406801
0.0,17,2.419067
0.0,4,2.423087
0.0,30,2.48819
0.0,59,2.495384
0.0,10,2.559581
0.0,23,2.563896
0.0,28,2.610979
0.0,8,2.616992
0.0,39,2.630419
0.0,46,2.634435
0.0,15,2.638012
0.0,2,2.640017
0.0,2,2.644035
0.0,2,2.649078
0.0,88,2.678782
0.0,33,2.695327
0.0,14,2.701739
0.0,2,2.701739
0.0,2,2.710105
0.0,26,2.750162
0.0,19,2.761999
0.0,2,2.768806
0.0,22,2.776817
0.0,4,2.798491
0.0,2,2.798491
0.0,14,2.826413
0.0,8,2.849061
0.0,80,2.849061
0.0,25,2.853068
0.0,2,2.855072
0.0,34,2.859469
0.0,48,2.89647
0.0,35,2.95279
0.0,2,2.961476
0.0,4,2.97412
0.0,23,2.976922
0.0,2,2.98296
0.0,2,3.018685
0.0,4,3.032186
0.0,26,3.032186
0.0,2,3.037234
0.0,2,3.04546
0.0,50,3.084876
0.0,14,3.10288
0.0,15,3.16635
0.0,23,3.176703
0.0,37,3.178189
0.0,60,3.184203
0.0,17,3.186744
0.0,9,3.232275
0.0,68,3.239456
0.0,2,3.246629
0.0,84,3.252667
0.0,2,3.252667
0.0,77,3.283655
0.0,2,3.283655
0.0,18,3.295534
0.0,13,3.353108
0.0,35,3.366266
0.0,6,3.371733
0.0,23,3.376915
0.0,28,3.432495
0.0,48,3.453151
0.0,6,3.453151
0.0,4,3.495482
0.0,45,3.550743
0.0,15,3.55564
0.0,58,3.55867
0.0,2,3.562107
0.0,2,3.568669
0.0,15,3.568669
0.0,39,3.576603
0.0,4,3.624273
0.0,7,3.627239
0.0,82,3.629245
0.0,43,3.638869
0.0,9,3.65513
0.0,2,3.689644
0.0,14,3.698907
0.0,59,3.712649
0.0,2,3.71868
0.0,31,3.720684
0.0,20,3.755412
0.0,24,3.818369
0.0,17,3.826857
0.0,24,3.830322
0.0,18,3.844455
0.0,22,3.84931
0.0,2,3.85303
0.0,67,3.912417
0.0,24,3.953337
0.0,19,3.972571
0.0,2,3.978628
0.0,15,3.990409
0.0,30,4.028739
0.0,4,4.036078
0.0,74,4.039117
0.0,9,4.039117
0.0,4,4.049491
0.0,8,4.056641
0.0,22,4.059169
0.0,45,4.06492
0.0,46,4.098949
0.0,20,4.174309
0.0,14,4.180759
0.0,110,4.204013
0.0,28,4.204013
0.0,10,4.215067
0.0,4,4.254563
0.0,6,4.271721
0.0,39,4.31251
0.0,8,4.338862
0.0,28,4.370953
0.0,48,4.377965
0.0,2,4.384191
0.0,8,4.392391
0.0,2,4.399076
0.0,51,4.446976
0.0,9,4.451119
0.0,32,4.453436
0.0,14,4.455186
0.0,91,4.568904
0.0,71,4.581805
0.0,44,4.583812
0.0,10,4.638701
0.0,42,4.659477
0.0,21,4.712235
0.0,51,4.721041
0.0,8,4.771379
0.0,61,4.780681
0.0,10,4.785094
0.0,2,4.789131
0.0,7,4.795181
0.0,8,4.849977
0.0,12,4.856989
0.0,144,4.861028
0.0,2,4.863848
0.0,37,4.903461
0.0,13,4.918837
0.0,10,4.922114
0.0,8,4.929126
0.0,28,4.932491
0.0,72,4.992338
0.0,12,4.994465
0.0,13,5.001335
0.0,12,5.01062
0.0,27,5.013187
0.0,4,5.055501
0.0,71,5.063047
0.0,2,5.063047
0.0,2,5.070409
0.0,16,5.076896
0.0,2,5.084958
0.0,6,5.114477
0.0,13,5.132343
0.0,33,5.132343
0.0,9,5.142831
0.0,125,5.144874
0.0,27,5.146879
0.0,2,5.152862
0.0,6,5.152862
0.0,15,5.184103
0.0,4,5.196611
0.0,8,5.202398
0.0,2,5.202398
0.0,18,5.215706
0.0,4,5.252136
0.0,46,5.266775
0.0,24,5.276848
0.0,4,5.320143
0.0,18,5.341797
0.0,39,5.388541
0.0,32,5.392035
0.0,20,5.392035
0.0,34,5.397086
0.0,6,5.412071
0.0,2,5.418829
0.0,79,5.449129
0.0,14,5.4609
0.0,27,5.468706
0.0,56,5.472222
0.0,27,5.518941
0.0,9,5.526676
0.0,2,5.526676
0.0,16,5.529732
0.0,24,5.529732
0.0,2,5.534288
0.0,2,5.537806
0.0,2,5.541818
0.0,2,5.543823
0.0,16,5.55249
0.0,30,5.557519
0.0,24,5.584924
0.0,6,5.588955
0.0,11,5.594155
0.0,14,5.600825
0.0,7,5.605431
0.0,11,5.620996
0.0,30,5.620996
0.0,12,5.651645
0.0,11,5.660695
0.0,25,5.677113
0.0,19,5.719082
0.0,16,5.727098
0.0,24,5.727098
0.0,2,5.731852
0.0,4,5.73386
0.0,12,5.741901
0.0,6,5.74591
0.0,2,5.752354
0.0,2,5.78458
0.0,36,5.79117
0.0,31,5.810681
0.0,8,5.812688
0.0,24,5.86476
0.0,46,5.878683
0.0,4,5.924766
0.0,34,5.939246
0.0,2,5.946801
0.0,18,5.958778
0.0,44,5.992637
0.0,13,5.996645
0.0,38,6.00567
0.0,2,6.01103
0.0,16,6.068719
0.0,93,6.175773
0.0,48,6.241422
0.0,43,6.271836
0.0,86,6.27384
0.0,2,6.306653
0.0,59,6.306653
0.0,18,6.330744
0.0,2,6.336754
0.0,9,6.340784
0.0,74,6.401139
0.0,28,6.458933
0.0,118,6.462281
0.0,4,6.471032
0.0,8,6.514508
0.0,62,6.518565
0.0,32,6.524324
0.0,24,6.532743
0.0,39,6.576887
0.0,11,6.576887
0.0,10,6.592603
0.0,16,6.594608
0.0,2,6.599113
0.0,121,6.60231
0.0,2,6.606469
0.0,11,6.610998
0.0,6,6.64179
0.0,14,6.649642
0.0,4,6.653713
0.0,8,6.657287
0.0,76,6.71193
0.0,9,6.71193
0.0,49,6.739138
0.0,26,6.746966
0.0,46,6.788628
0.0,16,6.796918
0.0,30,6.798944
0.0,2,6.80408
0.0,12,6.809119
0.0,4,6.813127
0.0,10,6.843078
0.0,2,6.849629
0.0,6,6.851694
0.0,10,6.858723
0.0,2,6.86607
0.0,46,6.909108
0.0,31,6.930995
0.0,52,6.933024
0.0,25,6.947001
0.0,6,6.974372
0.0,47,6.974372
0.0,21,6.974372
0.0,6,6.996697
0.0,27,7.008889
0.0,16,7.056877
0.0,37,7.135796
0.0,57,7.144857
0.0,51,7.188799
0.0,8,7.201697
0.0,13,7.208
0.0,8,7.252615
0.0,41,7.252615
0.0,2,7.258662
0.0,18,7.316936
0.0,69,7.335652
0.0,32,7.342694
0.0,72,7.342694
0.0,10,7.371895
0.0,65,7.396045
0.0,76,7.401686
0.0,31,7.401686
0.0,4,7.440532
0.0,18,7.453087
0.0,45,7.508978
0.0,20,7.571236
0.0,38,7.579131
0.0,40,7.579131
0.0,52,7.631727
0.0,16,7.652303
0.0,23,7.707726
0.0,48,7.711804
0.0,59,7.736889
0.0,2,7.743033
0.0,12,7.772489
0.0,21,7.788875
0.0,6,7.792915
0.0,18,7.796922
0.0,56,7.805005
0.0,6,7.841049
0.0,13,7.841049
0.0,36,7.845059
0.0,2,7.850269
0.0,8,7.864805
0.0,14,7.875244
0.0,9,7.882402
0.0,20,7.938993
0.0,2,7.946995
0.0,17,7.95114
0.0,18,7.988853
0.0,32,8.006617
0.0,23,8.010744
0.0,5,8.052102
0.0,2,8.059106
0.0,17,8.059106
0.0,16,8.068782
0.0,89,8.071564
0.0,11,8.122809
0.0,125,8.122809
0.0,2,8.127882
0.0,24,8.194067
0.0,21,8.197076
0.0,32,8.200104
0.0,8,8.249151
0.0,23,8.253635
0.0,33,8.260773
0.0,2,8.266769
0.0,87,8.269712
0.0,8,8.278763
0.0,65,8.323747
0.0,5,8.336984
0.0,19,8.380102
0.0,35,8.390666
0.0,15,8.415736
0.0,42,8.443256
0.0,10,8.473491
0.0,49,8.512792
0.0,29,8.53273
0.0,13,8.542747
0.0,39,8.58886
0.0,84,8.592901
0.0,64,8.614936
0.0,21,8.664325
0.0,21,8.712123
0.0,20,8.732265
0.0,32,8.775428
0.0,41,8.778951
0.0,53,8.799075
0.0,24,8.851977
0.0,80,8.867792
0.0,19,8.871806
0.0,17,8.908637
0.0,6,8.911534
0.0,2,8.91882
