#{"t_start": 1769548066.3942976, "env_id": "None"}
r,l,t
0.0,8,1.178456
0.0,8,1.178514
0.925,10,1.184135
0.0,28,1.225889
0.0,23,1.237282
0.0,48,1.275296
0.0,51,1.282576
0.0,26,1.302201
0.0,65,1.316947
0.0,9,1.325367
0.0,74,1.339954
0.0,6,1.355727
0.4375,75,1.363408
0.0,32,1.363443
0.0,96,1.393266
0.0,19,1.401081
0.0,23,1.41822
0.0,112,1.432763
0.0,18,1.444667
0.0,120,1.45616
0.0,120,1.456207
0.0,13,1.476766
0.0,120,1.4837
0.0,8,1.48373
0.0,50,11.964634
0.0,21,11.99165
0.0,120,11.996314
0.0,22,12.001587
0.0,32,12.03212
0.0,120,12.118034
0.0,62,12.118071
0.0,29,12.138654
0.0,120,12.155193
0.0,58,12.158443
0.0,120,12.165398
0.0,118,12.220326
0.0,71,12.227978
0.0,47,12.260475
0.0,120,12.272255
0.0,120,12.279672
0.0,66,12.309629
0.0,36,20.915511
0.0,120,20.918115
0.775,30,20.918142
0.0,45,20.946044
0.0,120,20.952902
0.0,16,20.952932
0.0,1,20.956207
0.0,17,20.958877
0.0,120,20.96191
0.0,120,20.961936
0.0,8,20.977559
0.0,120,20.982195
0.0,14,20.98716
0.0,120,21.000004
0.7675,31,21.025036
0.0,37,21.032774
0.0,29,21.043888
0.0,120,21.149774
0.0,120,21.157104
0.0,69,21.162397
0.0,38,21.171028
0.9025,13,21.186103
0.0,38,21.196725
0.0,24,21.213298
0.0,9,21.216254
0.0,110,21.216281
0.0,1,21.216301
0.0,14,21.248432
0.9925,1,21.250966
0.0,97,28.631931
0.415,78,28.666626
0.0,120,28.681964
0.0,9,28.689968
0.0,120,28.702822
0.0,120,28.708055
0.0,9,28.711366
0.0,86,28.74383
0.0,120,28.750416
0.0,23,28.759734
0.0,30,28.768273
0.0,65,28.777797
0.0,120,28.786369
0.0,13,28.792227
0.0,120,28.806886
0.0,102,28.814291
0.0,38,28.830683
0.0,9,28.833265
0.0,33,28.84375
0.0,120,28.852199
0.985,2,28.857561
0.0,13,28.873586
0.0,120,28.985241
0.0,48,28.996494
0.0,120,36.561376
0.0,120,36.583959
0.0,79,36.616505
0.0,120,36.628939
0.0,120,36.651617
0.0,120,36.660851
0.0,120,36.679679
0.0,28,36.688879
0.9925,1,36.691433
0.0,120,36.703879
0.0,120,36.732013
0.0,102,36.732061
0.0,111,36.741325
0.0,120,36.747879
0.0,55,45.318753
0.0,120,45.329468
0.0,120,45.35241
0.0,120,45.388394
0.0,37,45.401978
0.43,76,45.406602
0.0,120,45.422766
0.0,120,45.431889
0.0,119,45.449004
0.0,120,45.473885
0.2125,105,45.477449
0.0,120,45.503255
0.0,120,45.518244
0.535,62,45.536993
0.0,52,45.545861
