#{"t_start": 1769553017.487848, "env_id": "None"}
r,l,t
0.9175,11,2.881883
0.0,14,2.90043
0.0,18,2.926468
0.9175,11,2.953539
0.0,28,3.009551
0.0,20,3.048817
0.0,40,3.089634
0.73,36,3.207881
0.0,2,3.22297
0.0,77,3.330664
0.0,51,3.382701
0.0,89,3.411277
0.0,63,3.424871
0.9175,11,3.559595
0.0,30,3.731305
0.0,120,3.740063
0.0,120,3.740063
0.0,120,3.740063
0.955,6,3.794613
0.0,6,3.794613
0.0,120,28.821123
0.64,48,28.910494
0.0,29,28.940129
0.0,120,28.98169
0.0,120,29.124627
0.4975,67,29.214732
0.0,14,29.224445
0.0,109,29.224445
0.0,120,29.24227
0.0,50,29.315464
0.0,70,29.339239
0.0,17,29.351442
0.0,98,29.401369
0.0,1,29.409771
0.0,101,29.430247
0.0,26,29.496809
0.0,2,29.514666
0.0,2,29.529309
0.0,86,29.536284
0.0,43,29.561452
0.0,10,29.602984
0.0,59,51.425418
0.0,56,51.487894
0.0,118,51.499417
0.0,49,51.56198
0.0,99,51.59251
0.0,110,51.676411
0.0,92,51.726194
0.0,44,51.827994
0.0,120,51.89046
0.0,27,51.94388
0.0,48,51.94388
0.0,69,52.010576
0.0,5,52.049644
0.0,120,52.069386
0.8575,19,52.079515
0.0,20,52.086217
0.0,65,52.093728
0.9925,1,52.101569
0.0,5,52.121787
0.0,32,52.131341
0.0,120,52.157999
0.0,7,52.182247
0.0,112,52.252895
0.79,28,52.279605
0.7375,35,72.993311
0.0,5,73.041738
0.0,20,73.055485
0.0,71,73.19846
0.0,120,73.205277
0.0,61,73.243844
0.0,120,73.316643
0.0,18,73.316643
0.0,53,73.441565
0.0,120,73.589398
0.0,48,73.600687
0.0,120,73.610759
0.0,120,73.661854
0.0,34,73.695104
0.8875,15,73.7095
0.0,120,73.754733
0.0,9,73.754733
0.0,120,95.491529
0.0,108,95.56068
0.0,93,95.573916
0.0,13,95.573916
0.0,51,95.6278
0.0,13,95.65062
0.0,16,95.655829
0.0,120,95.742693
0.0,95,95.830434
0.0,92,95.954942
0.0,48,95.988627
0.0,120,96.009216
0.0,120,96.075298
0.0,4,96.11418
0.9775,3,96.135975
0.0,1,96.143492
0.0,120,96.171901
0.0,49,96.202234
0.0,100,96.273646
0.0,16,96.280379
0.0,108,119.216076
0.0,19,119.23102
0.0,120,119.33389
0.4525,73,119.36217
0.0,3,119.36217
0.0,40,119.399681
0.0,2,119.417259
0.0,120,119.445106
0.0,13,119.470568
0.0,8,119.482
0.0,120,119.679571
0.7975,27,119.679571
0.0,120,119.71708
0.0,38,119.794943
0.0,118,119.861001
0.0,120,119.943724
0.0,37,119.981731
0.265,98,120.001762
0.0,6,120.05179
0.0,81,120.087877
0.31,92,120.096297
0.0,120,140.696908
0.0,19,140.85491
0.0,64,140.896008
0.4975,67,141.121352
0.0,120,141.166332
0.0,120,141.193524
0.0,120,141.254567
0.0,120,141.403743
0.0,120,141.448434
0.0,40,141.490356
0.0,120,141.534041
0.0,120,141.55152
0.0,94,141.608663
0.0,102,141.628465
0.0,20,165.956615
0.0,18,165.989544
0.0,10,166.029234
0.0,17,166.120679
0.8725,17,166.254877
0.0,120,166.280409
0.0,120,166.337109
0.0,120,166.428394
0.0,19,166.428394
0.0,120,166.564393
0.0,120,166.594802
0.9925,1,166.610582
0.0,120,166.650408
0.0,120,166.712548
0.0,120,166.790097
0.625,50,166.803216
0.0,42,187.989289
0.0,79,188.024392
0.0,120,188.043994
0.865,18,188.156046
0.0,120,188.225409
0.0,48,188.299884
0.985,2,188.321211
0.0,120,188.384761
0.0,102,188.482184
0.0,25,188.505278
0.0,100,188.537641
0.0,116,188.56134
0.2875,95,188.585138
0.0,99,188.608262
0.0,12,188.637185
0.0,8,188.654573
0.0,9,188.685055
0.0,120,188.901228
0.7,40,209.837035
0.0,39,209.874363
0.0,120,209.973294
0.0,74,209.973294
0.0,120,210.053502
0.0,120,210.274075
0.0,120,210.399622
0.0,19,210.416108
0.0,120,210.436388
0.0,8,210.46618
0.0,11,210.499257
0.0,120,210.518451
0.0,69,210.549594
0.88,16,210.55728
0.805,26,210.654267
0.8875,15,210.670048
0.0,25,210.748271
0.0,114,210.769341
0.0,120,210.789422
0.97,4,210.817896
0.6925,41,210.864726
0.0,120,210.880462
0.91,12,232.921232
0.91,12,232.934716
0.0,120,232.974081
0.0,13,233.010065
0.955,6,233.026384
0.0,120,233.068656
0.6025,53,233.127878
0.0,48,233.166445
0.4675,71,233.255735
0.6775,43,233.346001
0.0,25,233.425569
0.0,120,233.449955
0.58,56,233.450961
0.8725,17,233.540949
0.8725,17,233.565013
0.97,4,233.589344
0.0,120,233.727405
0.9925,1,233.736289
0.0,120,233.74284
0.0,120,233.854259
0.0,120,253.301522
0.0,55,253.301522
0.0,120,253.341501
0.0,120,253.371844
0.0,120,253.518013
0.0,5,253.547913
0.0,115,253.585024
